timestamp,size_vram_bytes,size_total_bytes,context_length,expires_at
2026-06-12T11:00:59Z,13363262258,15587879155,65536,2026-06-12T14:01:11.0077535+03:00
2026-06-12T11:01:00Z,13363262258,15587879155,65536,2026-06-12T14:01:11.5664176+03:00
2026-06-12T11:01:00Z,13363262258,15587879155,65536,2026-06-12T14:01:12.1168314+03:00
2026-06-12T11:01:01Z,13363262258,15587879155,65536,2026-06-12T14:01:12.6621286+03:00
2026-06-12T11:01:01Z,13363262258,15587879155,65536,2026-06-12T14:01:13.2035999+03:00
2026-06-12T11:01:02Z,13363262258,15587879155,65536,2026-06-12T14:01:13.7481939+03:00
2026-06-12T11:01:02Z,13363262258,15587879155,65536,2026-06-12T14:01:14.2828726+03:00
2026-06-12T11:01:03Z,13363262258,15587879155,65536,2026-06-12T14:01:14.8359162+03:00
2026-06-12T11:01:03Z,13363262258,15587879155,65536,2026-06-12T14:01:15.3792561+03:00
2026-06-12T11:01:04Z,13363262258,15587879155,65536,2026-06-12T14:01:15.9325242+03:00
2026-06-12T11:01:04Z,13363262258,15587879155,65536,2026-06-12T14:01:16.4804138+03:00
2026-06-12T11:01:05Z,13363262258,15587879155,65536,2026-06-12T14:01:17.0334813+03:00
2026-06-12T11:01:06Z,13363262258,15587879155,65536,2026-06-12T14:01:17.581785+03:00
2026-06-12T11:01:06Z,13363262258,15587879155,65536,2026-06-12T14:01:18.1375301+03:00
2026-06-12T11:01:07Z,13363262258,15587879155,65536,2026-06-12T14:01:18.6884584+03:00
2026-06-12T11:01:07Z,13363262258,15587879155,65536,2026-06-12T14:01:19.2357523+03:00
2026-06-12T11:01:08Z,13363262258,15587879155,65536,2026-06-12T14:01:19.783294+03:00
2026-06-12T11:01:08Z,13363262258,15587879155,65536,2026-06-12T14:01:20.3298987+03:00
2026-06-12T11:01:09Z,13363262258,15587879155,65536,2026-06-12T14:01:20.8842267+03:00
2026-06-12T11:01:09Z,13363262258,15587879155,65536,2026-06-12T14:01:21.4376478+03:00
2026-06-12T11:01:10Z,13363262258,15587879155,65536,2026-06-12T14:01:22.0005028+03:00
2026-06-12T11:01:11Z,13363262258,15587879155,65536,2026-06-12T14:01:22.5424672+03:00
2026-06-12T11:01:24Z,9282456124,15990521853,262144,2026-06-12T14:01:36.25685+03:00
2026-06-12T11:01:25Z,9282456124,15990521853,262144,2026-06-12T14:01:36.7928628+03:00
2026-06-12T11:01:25Z,9282456124,15990521853,262144,2026-06-12T14:01:37.3351401+03:00
