label,num_ctx,kv_cache,num_predict,prompt_tokens,prefill_med,prefill_std,decode_med,decode_std,ttft_med,ttft_std,load_med,n
baseline8192,8192,unknown,128,69,1257.95336456947,44.49305082943277,124.90315126747424,0.3566574926242732,0.6467550829984248,0.03833612014613086,0.5211182,5
sweep,65536,unknown,128,69,254.0800094267366,4.542352164696935,91.75614085141096,0.5402977808678865,25.66489645896945,0.41496963295623956,25.2714478,5
sweep_long,65536,unknown,64,37369,492728.20769768325,262854.3899005409,80.1136917782453,1.9701976444318274,11.769031584030017,26.729751046745637,0.4325811,3
sweep,131072,unknown,64,74764,2411.777878754193,2.655521676834122,62.940670208675684,0.09428380364574644,78.27687654201873,6.860968845171225,46.4691053,3
sweep,262144,unknown,64,149509,1523.5166419092284,7.964180820452025,44.41281908438146,0.41062280075220053,131.76576179207768,2.0636277567635744,31.0789254,3
