timestamp,size_vram_bytes,size_total_bytes,context_length,expires_at
2026-06-12T10:56:17Z,12145729207,15722096883,131072,2026-06-12T13:56:28.8343459+03:00
2026-06-12T10:56:17Z,12145729207,15722096883,131072,2026-06-12T13:56:29.3819321+03:00
2026-06-12T10:56:18Z,12145729207,15722096883,131072,2026-06-12T13:56:29.9414636+03:00
2026-06-12T10:56:18Z,12145729207,15722096883,131072,2026-06-12T13:56:30.4794138+03:00
2026-06-12T10:56:19Z,12145729207,15722096883,131072,2026-06-12T13:56:31.0322509+03:00
2026-06-12T10:56:20Z,12145729207,15722096883,131072,2026-06-12T13:56:31.5835809+03:00
2026-06-12T10:56:20Z,12145729207,15722096883,131072,2026-06-12T13:56:32.1370178+03:00
2026-06-12T10:56:21Z,12145729207,15722096883,131072,2026-06-12T13:56:32.6862212+03:00
2026-06-12T10:56:21Z,12145729207,15722096883,131072,2026-06-12T13:56:33.2379126+03:00
2026-06-12T10:56:22Z,12145729207,15722096883,131072,2026-06-12T13:56:33.7944888+03:00
2026-06-12T10:56:22Z,12145729207,15722096883,131072,2026-06-12T13:56:34.3387016+03:00
2026-06-12T10:56:23Z,12145729207,15722096883,131072,2026-06-12T13:56:34.8949787+03:00
2026-06-12T10:56:23Z,12145729207,15722096883,131072,2026-06-12T13:56:35.4383303+03:00
2026-06-12T10:56:24Z,12145729207,15722096883,131072,2026-06-12T13:56:35.9898761+03:00
2026-06-12T10:56:25Z,12145729207,15722096883,131072,2026-06-12T13:56:36.5303817+03:00
2026-06-12T10:56:25Z,12145729207,15722096883,131072,2026-06-12T13:56:37.0825543+03:00
2026-06-12T10:56:26Z,12145729207,15722096883,131072,2026-06-12T13:56:37.6379793+03:00
2026-06-12T10:56:26Z,12145729207,15722096883,131072,2026-06-12T13:56:38.194698+03:00
2026-06-12T10:56:27Z,12145729207,15722096883,131072,2026-06-12T13:56:38.7499425+03:00
2026-06-12T10:56:27Z,12145729207,15722096883,131072,2026-06-12T13:56:39.3119405+03:00
2026-06-12T10:56:28Z,12145729207,15722096883,131072,2026-06-12T13:56:39.8492303+03:00
2026-06-12T10:56:28Z,12145729207,15722096883,131072,2026-06-12T13:56:40.4023827+03:00
2026-06-12T10:56:29Z,12145729207,15722096883,131072,2026-06-12T13:56:40.9605546+03:00
2026-06-12T10:56:29Z,12145729207,15722096883,131072,2026-06-12T13:56:41.5159425+03:00
2026-06-12T10:56:30Z,12145729207,15722096883,131072,2026-06-12T13:56:42.0619334+03:00
2026-06-12T10:56:31Z,12145729207,15722096883,131072,2026-06-12T13:56:42.6182586+03:00
2026-06-12T10:56:31Z,12145729207,15722096883,131072,2026-06-12T13:56:43.1621549+03:00
2026-06-12T10:56:32Z,12145729207,15722096883,131072,2026-06-12T13:56:43.7242717+03:00
2026-06-12T10:56:32Z,12145729207,15722096883,131072,2026-06-12T13:56:44.2705153+03:00
2026-06-12T10:56:33Z,12145729207,15722096883,131072,2026-06-12T13:56:44.8260597+03:00
2026-06-12T10:56:33Z,12145729207,15722096883,131072,2026-06-12T13:56:45.3795388+03:00
2026-06-12T10:56:34Z,12145729207,15722096883,131072,2026-06-12T13:56:45.928847+03:00
2026-06-12T10:56:34Z,12145729207,15722096883,131072,2026-06-12T13:56:46.4846114+03:00
2026-06-12T10:56:35Z,12145729207,15722096883,131072,2026-06-12T13:56:47.0238222+03:00
2026-06-12T10:56:36Z,12145729207,15722096883,131072,2026-06-12T13:56:47.5755416+03:00
2026-06-12T10:56:36Z,12145729207,15722096883,131072,2026-06-12T13:56:48.1261161+03:00
2026-06-12T10:56:37Z,12145729207,15722096883,131072,2026-06-12T13:56:48.6796183+03:00
2026-06-12T10:56:37Z,12145729207,15722096883,131072,2026-06-12T13:56:49.2346757+03:00
2026-06-12T10:56:38Z,12145729207,15722096883,131072,2026-06-12T13:56:49.7852977+03:00
2026-06-12T10:56:38Z,12145729207,15722096883,131072,2026-06-12T13:56:50.3417858+03:00
2026-06-12T10:56:39Z,12145729207,15722096883,131072,2026-06-12T13:56:50.8944826+03:00
2026-06-12T10:56:39Z,12145729207,15722096883,131072,2026-06-12T13:56:51.4512563+03:00
